user_id,full_name,pan,aadhaar,date_of_birth,city,state,monthly_income,occupation,signup_timestamp,kyc_status,risk_segment,id_validation_status,is_dob_missing,is_signup_time_missing
USR10001,Osha Dewan,XZDVU00501,513399118310,1964-03-24 00:00:00,Pune,Maharashtra,37535.0,Retired,2025-09-27 00:00:00,VERIFIED,Medium,VALID_12_DIGIT,False,False
USR10007,Yutika Borra,,110185359606,1963-09-27 11:39:00,Bengaluru,Karnataka,20393.0,Unemployed,2025-07-02 00:00:00,VERIFIED,Medium,VALID_12_DIGIT,False,False
USR10010,Warda Dada,WJVZZ1464B,109561772042,,Jalandhar,Punjab,48376.0,Gig Worker,2024-07-26 09:55:29,PENDING,High,VALID_12_DIGIT,True,False
USR10013,Azaan Nigam,LQQSW5207I,775810013345,1982-12-12 00:00:00,Pune,Maharashtra,26893.0,Salaried,2025-09-10 00:00:00,VERIFIED,High,VALID_12_DIGIT,False,False
USR10014,Nisha Patil,RPDIH8589M,9228,,Mumbai,Maharashtra,18633.0,Freelancer,2026-01-28 00:00:00,VERIFIED,Medium,PARTIAL_4_DIGIT,True,False
USR10015,Nitara Butala,ZATCW5166R,935509473494,2007-05-17 00:00:00,Ludhiana,Punjab,7232.0,Freelancer,2026-02-10 00:00:00,VERIFIED,Low,VALID_12_DIGIT,False,False
USR10020,Ekaraj Bora,OBRCZ2255G,636655257298,1982-03-12 00:00:00,Delhi,Delhi,31737.0,Retired,2024-10-04 00:00:00,VERIFIED,Medium,VALID_12_DIGIT,False,False
USR10022,Unni Bajaj,OASHV5339A,002445941007,1962-10-11 08:55:28,Amritsar,Punjab,26893.0,Gig Worker,2026-02-02 18:39:00,VERIFIED,Low,VALID_12_DIGIT,False,False
USR10024,Hemang Kumar,UBHIY9130I,219732029547,1968-04-14 01:12:00,Kolkata,West Bengal,22557.0,Salaried,2024-11-19 01:48:00,VERIFIED,High,VALID_12_DIGIT,False,False
USR10027,Aayush Shenoy,SXXAL10941,938169384804,1960-02-16 00:00:00,Delhi,Delhi,18134.0,Retired,,VERIFIED,Low,VALID_12_DIGIT,False,True
USR10030,Nirja Subramanian,UCCFI2469W,7814,1982-03-08 00:00:00,Chennai,Tamil Nadu,83400.0,Unemployed,2024-08-03 16:27:00,VERIFIED,Medium,PARTIAL_4_DIGIT,False,False
USR10031,Yasti Sami,IKRBX1473T,555438243372,1995-11-26 00:00:00,Pune,Maharashtra,27676.0,Self Employed,2026-02-03 00:00:00,PENDING,Low,VALID_12_DIGIT,False,False
USR10043,Rehaan Buch,TWXGM2046F,984179043663,1991-07-06 00:00:00,Ludhiana,Punjab,17368.0,Business Owner,2025-03-21 00:00:00,VERIFIED,Medium,VALID_12_DIGIT,False,False
USR10045,Mohammed Sur,HGVSK6101C,992158738704,1979-02-03 00:00:00,Pune,Maharashtra,42100.0,Student,2024-05-13 00:00:00,REJECTED,Medium,VALID_12_DIGIT,False,False
USR10046,Indrajit Patla,ZIEPW3536D,695001237960,2006-04-01 23:40:26,Jalandhar,Punjab,33616.0,Self Employed,2025-03-30 00:00:00,VERIFIED,Medium,VALID_12_DIGIT,False,False
USR10047,Pushti Datta,RPFZI6765W,641592077427,1979-06-11 00:00:00,Pune,Maharashtra,38887.0,Salaried,,PENDING,Low,VALID_12_DIGIT,False,True
USR10048,Jhalak Chaudhry,PVBSX3783Q,428702893969,2001-05-31 00:00:00,Bengaluru,Karnataka,48066.0,Retired,2026-06-02 00:00:00,PENDING,Low,VALID_12_DIGIT,False,False
USR10049,Eshana De,OCHZK0381G,862226398615,1980-10-16 00:00:00,Amritsar,Punjab,55166.0,Gig Worker,2024-05-19 00:00:00,VERIFIED,Medium,VALID_12_DIGIT,False,False
USR10052,Rohan Kothari,UBWTV8602C,798537002668,1960-10-28 00:00:00,Kolkata,West Bengal,61355.0,Business Owner,2026-01-26 05:06:55,VERIFIED,Medium,VALID_12_DIGIT,False,False
USR10054,Veda Sodhi,,696462768561,1977-02-24 00:00:00,Ludhiana,Punjab,15820.0,Unemployed,,VERIFIED,Low,VALID_12_DIGIT,False,True
