merchant_id,merchant_name,merchant_category,mcc,business_type,city,state,has_onboarding_date,onboarding_date,is_masked_account,settlement_account,merchant_status,declared_avg_ticket_size
MCH1001,Anand Kothari,Retail & Groceries,,Partnership / LLP,Pune,Maharashtra,TRUE,17-02-26 06:54,FALSE,7962506762,ACTIVE,332.55
MCH1002,Apte Saha And Edwin,Food & Beverage,5812,Private Limited,Bangalore,Karnataka,TRUE,01-07-26 09:01,TRUE,XXXX8596,ACTIVE,1671.2
MCH1003,Nayar Batta And Barad,Apparel & Fashion,5699,Private Limited,Chennai,Tamil Nadu,FALSE,,FALSE,,ACTIVE,792.91
MCH1004,Pillai Mohan,Travel & Transport,4131,Proprietorship,Lucknow,Uttar Pradesh,TRUE,08-04-23 00:00,FALSE,3448414449,ACTIVE,342.7
MCH1005,Sagar And Sons,Medical & Health,59120,Partnership / LLP,Ludhiana,Punjab,TRUE,06-02-24 00:00,FALSE,IPTY9767700049775,ACTIVE,967.53
MCH1007,Jain Wadhwa,Hotel & Lodging,7011,Private Limited,Chennai,Tamil Nadu,TRUE,30-06-25 00:00,FALSE,,INACTIVE,927.51
MCH1009,Bha11A Dave,Travel & Transport,4121,Individual,Mumbai,Maharashtra,TRUE,08-01-24 00:00,FALSE,BAVP5007663773178,ACTIVE,0.1496
MCH1010,Menon Andra,Retail & Groceries,5411,Private Limited,New Delhi,Delhi,TRUE,17-11-24 00:00,TRUE,XXXX4837,ACTIVE,678.36
MCH1011,Wable And Sons,Retail & Groceries,54110,Private Limited,Ludhiana,Punjab,TRUE,11-02-23 00:00,FALSE,,ACTIVE,6536.07
MCH1014,Agate Saxena And Pandit,Retail & Groceries,5311,Partnership / LLP,Jalandhar,Punjab,TRUE,21-12-23 00:00,FALSE,3851769270,ACTIVE,1096.96
MCH1015,Mannan Subramaniam,Hotel & Lodging,7011,Individual,Hyd,Telangana,TRUE,19-05-24 00:00,FALSE,,ACTIVE,1116.83
MCH1016,Mangat Som And Deshmukh,Books & Stationery,5942,Individual,Pune,Maharashtra,TRUE,02-08-25 00:00,FALSE,OOIR2591293670615,SUSPENDED,756.28
MCH1018,Kannan Khatri,Retail & Groceries,53110,Individual,Jalandhar,Punjab,TRUE,19-03-23 00:00,FALSE,,ACTIVE,0.1791
MCH1019,Iyer Thaker,Apparel & Fashion,5699,Partnership / LLP,Kolkata,West Bengal,TRUE,23-05-25 00:00,TRUE,XXXX9462,ACTIVE,1036.37
MCH1020,Garg Kale,Transprt,4131,Proprietorship,Asr,Punjab,TRUE,09-05-23 00:00,FALSE,,ACTIVE,1015.68
MCH1021,Naik Karpe,Retail & Groceries,5411,Proprietorship,Mumbai,Maharashtra,TRUE,16-11-25 17:48,FALSE,BPUY6277335937444,ACTIVE,2341.57
MCH1022,Ramesh Bhat,Other,,Private Limited,Hyderabad,Telangana,FALSE,,FALSE,,ACTIVE,3026.17
MCH1032,Nori Nigam,Hotel & Lodging,7011,Proprietorship,Pune,Maharashtra,TRUE,21-09-25 00:00,FALSE,DXHQ1859405929058,ACTIVE,652.29
MCH1033,Sidhu And Sons,Phone Service,4814,Individual,Jalandhar,Punjab,TRUE,11-09-23 00:00,FALSE,WXKC0706100279623,ACTIVE,1871.48
MCH1034,Devi Chaudhari,Medical & Health,7011,Private Limited,New Delhi,Delhi,TRUE,17-06-24 22:15,TRUE,XXXX9097,ACTIVE,243.38
MCH1035,Minhas Khatri,Food & Beverage,58120,Proprietorship,Mumbai,Maharashtra,TRUE,24-01-24 00:00,FALSE,LDCT0604920639781,ACTIVE,5777.68
MCH1039,Lal Barad,Electronics & Tech,4814,Proprietorship,Lucknow,Uttar Pradesh,TRUE,28-07-25 00:43,FALSE,,ACTIVE,3062.03
MCH1040,Krishnan And S0Ns,Retail & Groceries,5411,Proprietorship,Jalandhar,Punjab,TRUE,06-01-23 00:00,FALSE,5805252531,ACTIVE,1030.03
MCH1041,Pat1A S0M,Apparel & Fashion,,Private Limited,Kolkata,West Bengal,TRUE,21-04-24 00:00,FALSE,,ACTIVE,3701.53
MCH1044,Jha Salvi And Setty,Retail,5311,Partnership / LLP,Hyderabad,Telangana,TRUE,28-10-24 00:00,FALSE,VZSQ7155957356020,ACTIVE,1084.93
MCH1047,Rana Aurora,Electronics & Tech,4814,Partnership / LLP,Bangalore,Karnataka,TRUE,20-08-23 01:01,FALSE,BJXS0430805448675,ACTIVE,1003.46
MCH1050,Trivedi Zachariah,Apparel & Fashion,5699,Proprietorship,Jaipur,Rajasthan,TRUE,30-01-25 00:00,FALSE,368449602,ACTIVE,2479.88
MCH1053,Gera Grover And Sehgal,Electronics & Tech,4814,Individual,Amritsar,Punjab,TRUE,22-02-25 00:00,FALSE,,ACTIVE,708.11
MCH1054,Cheema Ltd,Retail & Groceries,5311,Private Limited,Pune,Maharashtra,TRUE,27-05-23 00:00,FALSE,,ACTIVE,868.09
